measure,quantile,time,sex,age,ethnic,value
lx,2.50%,2017-19,Male,70 years,Total,82126
lx,2.50%,2017-19,Male,71 years,Total,80825
lx,2.50%,2017-19,Male,72 years,Total,79434
lx,2.50%,2017-19,Male,73 years,Total,77762
lx,2.50%,2017-19,Male,74 years,Total,75957
lx,2.50%,2017-19,Male,75 years,Total,74041
lx,2.50%,2017-19,Male,76 years,Total,71878
lx,2.50%,2017-19,Male,77 years,Total,69673
lx,2.50%,2017-19,Male,78 years,Total,67290
lx,2.50%,2017-19,Male,79 years,Total,64589
lx,2.50%,2017-19,Male,80 years,Total,61657
lx,2.50%,2017-19,Male,81 years,Total,58524
lx,2.50%,2017-19,Male,82 years,Total,55118
lx,2.50%,2017-19,Male,83 years,Total,51505
lx,2.50%,2017-19,Male,84 years,Total,47747
lx,2.50%,2017-19,Male,85 years,Total,43803
lx,2.50%,2017-19,Male,86 years,Total,39656
lx,2.50%,2017-19,Male,87 years,Total,35424
lx,2.50%,2017-19,Male,88 years,Total,31182
lx,2.50%,2017-19,Male,89 years,Total,26986
lx,2.50%,2017-19,Male,90 years,Total,22927
lx,2.50%,2017-19,Male,91 years,Total,19117
lx,2.50%,2017-19,Male,92 years,Total,15601
lx,2.50%,2017-19,Male,93 years,Total,12462
lx,2.50%,2017-19,Male,94 years,Total,9727
lx,2.50%,2017-19,Male,95 years,Total,7412
lx,2.50%,2017-19,Male,96 years,Total,5498
lx,2.50%,2017-19,Male,97 years,Total,3973
lx,2.50%,2017-19,Male,98 years,Total,2782
lx,2.50%,2017-19,Male,99 years,Total,1888
lx,2.50%,2017-19,Male,100 years,Total,1231
lx,2.50%,2017-19,Male,101 years,Total,774
lx,2.50%,2017-19,Male,102 years,Total,463
lx,2.50%,2017-19,Male,103 years,Total,263
lx,2.50%,2017-19,Male,104 years,Total,141
lx,2.50%,2017-19,Male,105 years,Total,71
lx,50%,2017-19,Female,0 years,Total,100000
lx,50%,2017-19,Female,1 years,Total,99583
lx,50%,2017-19,Female,2 years,Total,99554
lx,50%,2017-19,Female,3 years,Total,99533
lx,50%,2017-19,Female,4 years,Total,99518
lx,50%,2017-19,Female,5 years,Total,99506
lx,50%,2017-19,Female,6 years,Total,99497
lx,50%,2017-19,Female,7 years,Total,99488
lx,50%,2017-19,Female,8 years,Total,99481
lx,50%,2017-19,Female,9 years,Total,99473
lx,50%,2017-19,Female,10 years,Total,99465
lx,50%,2017-19,Female,11 years,Total,99457
lx,50%,2017-19,Female,12 years,Total,99447
lx,50%,2017-19,Female,13 years,Total,99436
lx,50%,2017-19,Female,14 years,Total,99422
lx,50%,2017-19,Female,15 years,Total,99404
lx,50%,2017-19,Female,16 years,Total,99383
lx,50%,2017-19,Female,17 years,Total,99358
lx,50%,2017-19,Female,18 years,Total,99329
